SL NO,STATE/UT,population deprived of schooling,poverty rate (%),population deprived of Nutrition,Year,unemployment rate,gdp(billions),literacy rate(%),Population(in lakhs),total crimes,Murder,Kidnapping and Abduction,crime against women,crime against children,crime committed by juveniles
49,Madhya Pradesh,12.14,20.63,34.63,2021,9.6,"9,466",72.9,845.16,475918,2034,9511,30673,19173,5684
50,Maharashtra,5.9,7.81,32.29,2021,2.1,"26,107",82.3,1244.37,540800,2330,10502,39526,17261,4554
51,Manipur,4.5,8.1,17.87,2021,3.5,298,79.2,31.65,3204,46,85,302,143,11
52,Meghalaya,16.7,27.79,34.72,2021,9,338,74.4,32.88,3428,80,123,685,481,60
53,Mizoram,6.7,5.3,15.63,2021,2.6,239,91.3,12.16,3196,24,2,176,122,33
54,Nagaland,10.4,15.43,20.61,2021,5.4,298,79.6,21.92,1478,27,48,54,51,7
55,Odisha,13.4,15.68,30.77,2021,9.1,"5,402",72.9,440.33,155420,1394,5625,31352,7899,1334
56,Punjab,6.7,4.75,20.8,2021,6,"5,409",75.8,303.39,73581,723,1787,5662,2556,311
57,Rajasthan,10.06,15.31,34.09,2021,6.4,"10,179",68.3,792.81,284569,1786,7717,40738,7653,2757
58,Sikkim,8.5,2.6,10.36,2021,4.7,330,81.4,6.77,728,14,39,130,149,7
59,Tamil Nadu,8.5,2.2,19.17,2021,1.6,"17,881",80.1,764.02,756753,1686,821,8501,6064,2212
60,Telangana,14.56,5.88,28.35,2021,4.8,"9,431",72.7,377.25,158809,1026,2760,20865,5667,1152
61,Tripura,10.4,13.11,26.13,2021,4.2,535,87.2,40.71,4788,122,136,807,236,16
62,Uttar Pradesh,13.1,22.93,36.43,2021,3.3,"16,449",72.7,2309.07,608082,3717,14554,56083,16838,1330
63,Uttarakhand,7.8,9.67,23.68,2021,7.8,"2,256",78.8,113.99,34875,208,819,3431,1245,60
64,West Bengal,12.8,11.89,27.28,2021,2.9,"11,418",76.3,981.25,181821,1884,8339,35884,9523,551
65,A&N Islands,5.9,11.28,15.09,2021,3.5,93,86.6,4,1332,16,7,169,124,11
66,Chandigarh,4.5,3.52,21.57,2021,7.8,394,86,12.08,2995,17,154,343,234,54
67,D&N Haveli and Daman & Diu,8.1,9.21,37.81,2021,6.3,0.33,81.65,6.38,579,14,48,99,104,18
